MATERIA;CLASSE;ERA;SETTORE;TIPO;INCLUDERE;DOMANDA;CORRETTA;OPZIONE_1;OPZIONE_2;OPZIONE_3;OPZIONE_4
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;All'interno della pila protocollare TCP/IP, il livello di trasporto si trova al livello:;3;1;2;3;4
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;All'interno della pila protocollare TCP/IP, il livello applicativo si trova al livello:;4;1;2;3;4
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;La prima parte di un URL rappresenta: ;3;un server;un indirizzo;un protocollo;un sito web
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Un protocollo che permette di ottenere tutti i messaggi di posta elettronica a me indirizzati residenti nel server del mio provider si chiama: ;1;POP3;SMTP;HTTP;DNS
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale tra questi è un protocollo:;2;HTML;FTP;Shell;MAC
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale fra questi è un URL valido per individuare una risorsa web:;1;http://www.uunet.org/list/list.html;ftp://www.uunet.org/list/list.html;html://www.uunet.org/list/list.html ;php://www.uunet.org/list/list.html 
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale tra questi è un indirizzo di posta valido: ;1;paolo@dsc.unibo.it;paolo@rossi@dsc.unibo.it;http://paolo@dsc.unibo.it ;paolo.gmail@com
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Il protocollo che ci permette di trasferire dei documenti HTML dal server al client si chiama: ;1;HTTP;FTP;DNS;POP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Affinchè due persone possano scambiarsi messaggi di posta elettronica esse devono:;2;avere lo stesso programma di posta elettronica;avere un programma di posta elettronica;utilizzare lo stesso ISP ;utilizzare lo stesso sistema operativo 
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;I calcolatori collegati alla rete Internet sono identificati tramite:;1;un indirizzo IP;un nome di dominio;una socket TCP ;una pagina HTML 
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Un indirizzo IP identifica:;1;un calcolatore collegato ad Internet ;una pagina web;una locazione di memoria ;un file dentro una memoria di massa
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;TELNET serve per:;1;collegarsi ad un calcolatore remoto ;visitare pagine web;inviare messaggi di posta elettronica;trasferire file di grosse dimensioni tra due calcolatori
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;FTP serve per:;1;visitare file system remoti;mandare email;ricevere email;collegarsi ad un calcolatore elettronico
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Il WWW mette a disposizione:;1;un insieme di documenti memorizzati sulla rete internet secondo il linguaggio HTML;una rete di calcolatori che copre il globo terrestre;un meccanismo per la trasmissione delle email;una pagina ipertestuale che consente di visionare altre pagine
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Gli URL sono costituiti da:;3;1 parte: nome oggetto;2 parti: indirizzo ip, nome oggetto ;3 parti: nome protocollo, nome host, nome oggetto;3 parti: nome protocollo, indirizzo ip, nome oggetto
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Qual è il nome del sito Web dell’Università̀ di Bologna? ;1;www.unibo.it;unibo.it;cs.unibo.it;sdc.unibo.it
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Che cosa identifica esattamente il termine World Wide Web?;1;è un servizio per la condivisione di pagine HTML;è una grande organizzazione internazionale che si occupa dell’aggiornamento di Internet;è un insieme di risorse e di calcolatori che hanno l'obiettivo di tramettere informazioni nella rete;è un sinonimo di internet
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;"Nell' URL ""http://www.tds.ucla.edu/People/index.html"" qual è il nome dell’host che funziona da Web server per l’informazione richiesta? ";3;tds.ucla.edu ;People/index.html ;www.tds.ucla.edu ;ucla.edu 
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;A cosa serve il protocollo HTTP?;3;a definire il contenuto di una pagina Web;a garantire che la pagina Web sia definita in modo da essere correttamente interpretata su ogni architettura che la intenda visualizzare;a definire una modalità di comunicazione di un'informazione a carattere ipertestuale sulla rete fisica ;per la scrittura di pagine web, dunque di pagine con collegamenti ipertestuali
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Che legame esiste, se esiste, tra i protocolli HTTP e TCP/IP?;2;si tratta in entrambi i casi di protocolli utili unicamente al trasferimento di documenti HTML sulla rete fisica ;HTTP sfrutta TCP, che a sua volta si basa su IP, per garantire il trasferimento corretto dell’informazione ipertestuale sulla rete fisica. TCP/IP non sono però legati unicamente alla trasmissione di documenti HTML;non esiste alcun legame. I protocolli TCP e IP non hanno nulla a che vedere con la trasmissione di documenti del Web ;sono entrambi protocolli del livello di collegamento, dunque protocolli utilizzati per l'indirizzamento fisico tra due macchine
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;A cosa serve il protocollo POP3?;3;gestisce gli allegati delle email che prevedono file di grosse dimensioni;a definire la posizione geografica dei router, evitando concentrazioni che possono causare congestione della rete;alla ricezione dei messaggi di e-mail (posta in ingresso);alla trasmissione dei messaggi di e-mail (posta in uscita)
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;A cosa serve il protocollo SMTP?;4;gestisce gli allegati delle email che prevedono file di grossi dimensioni;a definire la posizione geografica dei router, evitando concentrazioni che possono causare congestione della rete;alla ricezione dei messaggi di e-mail (posta in ingresso);alla trasmissione dei messaggi di e-mail (posta in uscita)
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa è Telnet?;2;Un’applicazione per condividere risorse;Un’applicazione per consentire accesso e controllo di host remoti tramite Internet;Una rete geografica creata subito dopo ARPANET, che ha contribuito allo sviluppo di Internet ;Un protocollo per la trasmissione di file attraverso l'utilizzo della rete
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Se un utente deve visualizzare il contenuto del file system di un calcolatore che si trova a 500 KM di distanza (connesso a Internet), quali protocolli può̀ utilizzare? ;2;Telnet;FTP;HTTP;POP3
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;"Quale servizio si occupa di trasformare ""leporello.cs.unibo.it"" in 130.136.1.110? ";3;TCP;STMP;DNS;HTTP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;FTP è:;2;una rete di calcolatori;un protocollo;un tipo di indirizzamento;un nodo di una rete
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Un indirizzo IP consiste di:;3;un numero di area urbana e un numero di host all’interno dell’area ;un numero di rete e un numero di protocollo;un numero di rete ed un numero di host ;tutto insieme identifica un nodo in una rete
